@relation multicriteria_predicted

@attribute user numeric
@attribute project numeric
@attribute criterium1 numeric
@attribute criterium2 numeric
@attribute criterium3 numeric
@attribute criterium4 numeric
@attribute criterium5 numeric
@attribute criterium6 numeric
@attribute criterium7 numeric
@attribute criterium8 numeric
@attribute criterium9 numeric
@attribute criterium10 numeric
@attribute predictedoverall numeric
@attribute overall numeric

@data
36,3855,3,3,4,3,4,5,5,3,5,5,4.190476,4
75,26825,5,5,5,5,4,5,5,5,5,5,4.96875,5
14,3969,0,4,4,4,0,0,5,0,3,4,4,4
72,151,5,5,4,5,3,0,4,0,4,5,3.974359,4
75,3489,5,4,4,5,3,4,5,3,2,3,4.190476,4
70,151,0,0,0,0,0,0,0,0,0,0,3.052632,5
83,5120,5,5,5,5,5,0,5,0,5,5,4.588235,5
65,3855,5,5,5,4,3,5,5,4,4,5,4.588235,5
9,278,4,5,5,3,4,3,5,0,4,5,4.588235,5
16,3745,4,5,4,5,4,5,5,4,4,5,4.588235,5
89,3855,4,5,4,5,5,5,5,4,4,5,4.588235,4
84,151,5,5,5,5,4,0,5,0,0,5,4.588235,5
89,3670,3,4,4,4,4,5,4,4,4,3,3.363636,4
83,14549,5,5,5,5,5,0,5,5,5,5,4.588235,5
70,3517,4,5,5,4,4,5,5,3,4,0,4.588235,5
74,3855,0,3,4,4,0,0,5,4,4,5,3.375,4
84,3855,4,4,5,3,4,5,5,5,4,5,4.242424,5
88,3546,3,5,5,4,4,5,5,4,3,5,4.588235,4
16,3517,5,5,4,5,4,4,5,3,5,4,4.588235,4
70,4233,5,3,5,3,3,5,5,0,3,0,4.242424,4
89,5545,5,5,4,4,4,5,4,3,4,4,4.588235,4
9,386,5,4,5,4,0,0,4,0,3,3,3.363636,4
16,6303,4,4,4,4,0,4,4,0,4,5,4,4
66,3975,0,2,4,5,0,0,5,0,4,3,3.375,3
16,313,4,2,3,4,2,4,3,2,3,3,3,3
71,43,4,5,4,5,5,5,5,5,4,5,4.588235,4
73,9,4,4,5,5,4,0,5,0,4,5,4.242424,5
9,41,4,4,5,4,5,0,5,0,3,5,4.242424,4
9,4696,2,5,5,3,3,0,5,0,3,3,4.875,4
83,118,4,4,5,4,4,0,5,0,4,3,4.164384,4
75,10026,5,5,5,5,4,5,5,5,4,5,4.875,5
25,3499,3,4,5,0,0,5,5,0,3,4,4.164384,4
16,557,5,5,5,5,4,5,4,2,5,4,3.771429,4
74,151,0,4,5,5,0,0,4,0,4,4,3.771429,4
75,41,4,4,5,4,4,5,5,4,3,5,4.164384,4
83,7448,5,5,5,5,0,0,5,0,5,4,4.875,5
19,3517,5,5,5,5,4,5,5,3,5,4,4.875,5
88,278,5,5,5,5,5,5,5,5,5,5,4.875,5
66,3489,5,4,5,2,0,0,5,0,4,3,4.164384,4
11,3926,3,5,5,5,4,1,5,3,4,4,4.875,4
21,20,4,4,5,5,4,4,5,5,5,4,4.164384,4
72,89885,4,4,5,4,3,0,3,0,4,2,3.771429,3
77,3855,4,5,5,5,5,5,5,5,5,5,4.875,5
24,3926,4,5,5,5,5,5,5,4,4,5,4.875,5
10,3762,5,5,5,5,5,5,5,5,5,5,4.875,5
9,627,4,3,4,0,0,0,4,0,4,3,3.771429,3
83,26825,4,5,5,4,5,0,5,0,4,5,4.875,4
83,7290,4,5,5,4,5,0,5,0,4,4,4.875,4
67,3489,5,5,4,5,0,0,3,0,0,3,3.771429,4
9,34435,5,4,4,3,5,0,5,0,5,4,4.164384,4
